Problem,Severity,File,TempLine,Column,Rule,Description,URL,Category,Engine,Commit,ActualLine,TargetBranch
"1","3",temp_force-app_main_default_classes_AttachmentHandler.cls,"4","9","AvoidDebugStatements","Avoid Debug Statements","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd-custom",Bhavana02012003,14,WI-000047
"2","3",temp_force-app_main_default_classes_AttachmentHandler.cls,"5","9","AvoidDebugStatements","Avoid Debug Statements","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd-custom",Bhavana02012003,29,WI-000047
