rule,engine,severity,tags,file,startLine,startColumn,endLine,endColumn,message,resources,CommitAuthor,CommitAuthorFirstName,ActualLine,TargetBranch
"no-console",eslint,"3",,"temp_scanner_files/temp_force-app_main_default_lwc_demo_demo.js",7,0,7,0,"Unexpected console statement.",,"Bhavana02012003","Bhavana02012003",7,"Backup_Cloned_Branch"
"no-undef",eslint,"2",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyEslintTester___tests___dummyEslintTester.test.js",4,0,4,0,"'describe' is not defined.",,"Bhavana02012003","Bhavana02012003",4,"Backup_Cloned_Branch"
"no-undef",eslint,"2",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyEslintTester___tests___dummyEslintTester.test.js",5,0,5,0,"'afterEach' is not defined.",,"Bhavana02012003","Bhavana02012003",5,"Backup_Cloned_Branch"
"no-undef",eslint,"2",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyEslintTester___tests___dummyEslintTester.test.js",12,0,12,0,"'it' is not defined.",,"Bhavana02012003","Bhavana02012003",12,"Backup_Cloned_Branch"
"no-undef",eslint,"2",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyEslintTester___tests___dummyEslintTester.test.js",23,0,23,0,"'expect' is not defined.",,"Bhavana02012003","Bhavana02012003",23,"Backup_Cloned_Branch"
"no-unused-vars",eslint,"2",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyEslintTester_dummyEslintTester.js",3,0,3,0,"'ShowToastEvent' is defined but never used.",,"Bhavana02012003","Bhavana02012003",3,"Backup_Cloned_Branch"
"no-unused-vars",eslint,"2",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyEslintTester_dummyEslintTester.js",5,0,5,0,"'getAccounts' is defined but never used.",,"Bhavana02012003","Bhavana02012003",5,"Backup_Cloned_Branch"
"no-console",eslint,"3",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyEslintTester_dummyEslintTester.js",14,0,14,0,"Unexpected console statement.",,"Bhavana02012003","Bhavana02012003",14,"Backup_Cloned_Branch"
