rule,engine,severity,tags,file,startLine,startColumn,endLine,endColumn,message,resources,CommitAuthor,CommitAuthorFirstName,ActualLine,TargetBranch
"CognitiveComplexity","pmd","2",,"force-app/main/default/classes/Demo.cls",8,0,8,0,"The class 'Demo' has a total cognitive complexity of 58 (highest 19), current threshold is 50",,"Shyamk-16028","Shyamk-16028",8,"Backup_Branch1"
"CyclomaticComplexity","pmd","3",,"force-app/main/default/classes/Demo.cls",8,0,8,0,"The class 'Demo' has a total cyclomatic complexity of 41 (highest 9).",,"Shyamk-16028","Shyamk-16028",8,"Backup_Branch1"
"ApexDoc","pmd","5",,"force-app/main/default/classes/Demo.cls",16,0,16,0,"Missing ApexDoc comment",,"Shyamk-16028","Shyamk-16028",16,"Backup_Branch1"
"ApexDoc","pmd","5",,"force-app/main/default/classes/Demo.cls",24,0,24,0,"Missing ApexDoc comment",,"Shyamk-16028","Shyamk-16028",24,"Backup_Branch1"
"AvoidDebugStatements","pmd","2",,"force-app/main/default/classes/Demo.cls",50,0,50,0,"Avoid debug statements since they impact on performance",,"Shyamk-16028","Shyamk-16028",50,"Backup_Branch1"
"ApexDoc","pmd","5",,"force-app/main/default/classes/Demo.cls",56,0,56,0,"Missing ApexDoc comment",,"Shyamk-16028","Shyamk-16028",56,"Backup_Branch1"
"ExcessiveParameterList","pmd","3",,"force-app/main/default/classes/Demo.cls",70,0,70,0,"Avoid long parameter lists.",,"Shyamk-16028","Shyamk-16028",70,"Backup_Branch1"
"ApexDoc","pmd","5",,"force-app/main/default/classes/Demo.cls",70,0,70,0,"Missing ApexDoc comment",,"Shyamk-16028","Shyamk-16028",70,"Backup_Branch1"
"CognitiveComplexity","pmd","2",,"force-app/main/default/classes/Demo.cls",70,0,70,0,"The method 'evaluateCustomerTier(Integer, Decimal, Boolean, Integer)' has a cognitive complexity of 19, current threshold is 15",,"Shyamk-16028","Shyamk-16028",70,"Backup_Branch1"
"AvoidDeeplyNestedIfStmts","pmd","2",,"force-app/main/default/classes/Demo.cls",76,0,76,0,"Deeply nested if..then statements are hard to read",,"Shyamk-16028","Shyamk-16028",76,"Backup_Branch1"
"ApexDoc","pmd","5",,"force-app/main/default/classes/Demo.cls",100,0,100,0,"Missing ApexDoc comment",,"Shyamk-16028","Shyamk-16028",100,"Backup_Branch1"
"AvoidDebugStatements","pmd","2",,"force-app/main/default/classes/Demo.cls",116,0,116,0,"Avoid debug statements since they impact on performance",,"Shyamk-16028","Shyamk-16028",116,"Backup_Branch1"
"AvoidDebugStatements","pmd","2",,"force-app/main/default/classes/Demo.cls",119,0,119,0,"Avoid debug statements since they impact on performance",,"Shyamk-16028","Shyamk-16028",119,"Backup_Branch1"
"EmptyCatchBlock","pmd","3",,"force-app/main/default/classes/Demo.cls",121,0,121,0,"Avoid empty catch blocks",,"Shyamk-16028","Shyamk-16028",121,"Backup_Branch1"
"ApexDoc","pmd","5",,"force-app/main/default/classes/Demo.cls",129,0,129,0,"Missing ApexDoc comment",,"Shyamk-16028","Shyamk-16028",129,"Backup_Branch1"
"ApexDoc","pmd","5",,"force-app/main/default/classes/Demo.cls",147,0,147,0,"Missing ApexDoc comment",,"Shyamk-16028","Shyamk-16028",147,"Backup_Branch1"
"AvoidDebugStatements","pmd","2",,"force-app/main/default/classes/Demo.cls",174,0,174,0,"Avoid debug statements since they impact on performance",,"Shyamk-16028","Shyamk-16028",174,"Backup_Branch1"
"AvoidDebugStatements","pmd","2",,"force-app/main/default/classes/Demo.cls",175,0,175,0,"Avoid debug statements since they impact on performance",,"Shyamk-16028","Shyamk-16028",175,"Backup_Branch1"
"AvoidDebugStatements","pmd","2",,"force-app/main/default/classes/Demo.cls",176,0,176,0,"Avoid debug statements since they impact on performance",,"Shyamk-16028","Shyamk-16028",176,"Backup_Branch1"
"ApexDoc","pmd","5",,"force-app/main/default/classes/Demo.cls",183,0,183,0,"Missing ApexDoc comment",,"Shyamk-16028","Shyamk-16028",183,"Backup_Branch1"
"AvoidDebugStatements","pmd","2",,"force-app/main/default/classes/Demo.cls",199,0,199,0,"Avoid debug statements since they impact on performance",,"Shyamk-16028","Shyamk-16028",199,"Backup_Branch1"
