Problem,Severity,File,TempLine,Column,Rule,Description,URL,Category,Engine,Commit,ActualLine,TargetBranch
"1","3","temp_force-app_main_default_classes_Demo.cls","4","9","AvoidDebugStatements","Avoid Debug Statements","https://docs.pmd-code.org/pmd-doc-7.10.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd-custom",Bhavana02012003,N/A,WI-000047
"1","2","temp_force-app_main_default_lwc_demo_demo.js","6","0","files-must-compile","Parsing error: Unexpected token (6:0)","","Scanner Internal","eslint",Bhavana02012003,N/A,WI-000047
