rule,engine,severity,tags,file,startLine,startColumn,endLine,endColumn,message,resources,CommitAuthor,CommitAuthorFirstName,ActualLine,TargetBranch
"no-undef",eslint,"2",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyActionLwc___tests___dummyActionLwc.test.js",4,0,4,0,"'describe' is not defined.",,"Bhavana02012003","Bhavana02012003",4,"Backup_Cloned_Branch"
"no-undef",eslint,"2",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyActionLwc___tests___dummyActionLwc.test.js",5,0,5,0,"'afterEach' is not defined.",,"Bhavana02012003","Bhavana02012003",5,"Backup_Cloned_Branch"
"no-undef",eslint,"2",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyActionLwc___tests___dummyActionLwc.test.js",12,0,12,0,"'it' is not defined.",,"Bhavana02012003","Bhavana02012003",12,"Backup_Cloned_Branch"
"no-undef",eslint,"2",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyActionLwc___tests___dummyActionLwc.test.js",23,0,23,0,"'expect' is not defined.",,"Bhavana02012003","Bhavana02012003",23,"Backup_Cloned_Branch"
"no-console",eslint,"3",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyActionLwc_dummyActionLwc.js",6,0,6,0,"Unexpected console statement.",,"Bhavana02012003","Bhavana02012003",6,"Backup_Cloned_Branch"
