rule,engine,severity,tags,file,startLine,startColumn,endLine,endColumn,message,resources,CommitAuthor,CommitAuthorFirstName,ActualLine,TargetBranch
"AvoidDebugStatements","pmd",2,"Performance","temp_scanner_files/temp_force-app_main_default_classes_AccountClass.cls",10,17,10,69,"Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.13.0/pmd_rules_apex_performance.html#avoiddebugstatements",Bhavana02012003,Bhavana02012003,62,Backup_Cloned_Branch
"DebugsShouldUseLoggingLevel","pmd",4,"Security","temp_scanner_files/temp_force-app_main_default_classes_AccountClass.cls",10,17,10,69,"Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.13.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel",Bhavana02012003,Bhavana02012003,62,Backup_Cloned_Branch
"ApexCRUDViolation","pmd",2,"Security","temp_scanner_files/temp_force-app_main_default_classes_File.cls",18,43,22,18,"Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.13.0/pmd_rules_apex_security.html#apexcrudviolation",Bhavana02012003,Bhavana02012003,136,Backup_Cloned_Branch
"ApexCRUDViolation","pmd",2,"Security","temp_scanner_files/temp_force-app_main_default_classes_File.cls",37,21,37,56,"Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.13.0/pmd_rules_apex_security.html#apexcrudviolation",Bhavana02012003,Bhavana02012003,160,Backup_Cloned_Branch
"AvoidDebugStatements","pmd",2,"Performance","temp_scanner_files/temp_force-app_main_default_classes_File.cls",38,21,38,70,"Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.13.0/pmd_rules_apex_performance.html#avoiddebugstatements",Bhavana02012003,Bhavana02012003,161,Backup_Cloned_Branch
"DebugsShouldUseLoggingLevel","pmd",4,"Security","temp_scanner_files/temp_force-app_main_default_classes_File.cls",38,21,38,70,"Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.13.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel",Bhavana02012003,Bhavana02012003,161,Backup_Cloned_Branch
