rule,engine,severity,tags,file,startLine,startColumn,endLine,endColumn,message,resources,CommitAuthor,CommitAuthorFirstName,ActualLine,TargetBranch
"ApexDoc","pmd",5,"Documentation","temp_scanner_files/temp_force-app_main_default_classes_AccountClass.cls",1,21,5,2,"Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.13.0/pmd_rules_apex_documentation.html#apexdoc",Bhavana02012003,Bhavana02012003,N/A,Backup_Cloned_Branch
"ApexDoc","pmd",5,"Documentation","temp_scanner_files/temp_force-app_main_default_classes_AccountClass.cls",2,17,4,4,"Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.13.0/pmd_rules_apex_documentation.html#apexdoc",Bhavana02012003,Bhavana02012003,N/A,Backup_Cloned_Branch
"AvoidDebugStatements","pmd",2,"Performance","temp_scanner_files/temp_force-app_main_default_classes_AccountClass.cls",3,17,3,70,"Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.13.0/pmd_rules_apex_performance.html#avoiddebugstatements",Bhavana02012003,Bhavana02012003,62,Backup_Cloned_Branch
"DebugsShouldUseLoggingLevel","pmd",4,"Security","temp_scanner_files/temp_force-app_main_default_classes_AccountClass.cls",3,17,3,70,"Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.13.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel",Bhavana02012003,Bhavana02012003,62,Backup_Cloned_Branch
