rule,engine,severity,tags,file,startLine,startColumn,endLine,endColumn,message,resources,CommitAuthor,CommitAuthorFirstName,ActualLine,TargetBranch
"sort-imports",eslint,"3",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyActionLwc___tests___dummyActionLwc.test.js",2,0,2,0,"Imports should be sorted alphabetically.",,"Bhavana02012003","Bhavana02012003",2,"Backup_Branch"
"multiline-comment-style",eslint,"3",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyActionLwc___tests___dummyActionLwc.test.js",21,0,21,0,"Expected a block comment instead of consecutive line comments.",,"Bhavana02012003","Bhavana02012003",21,"Backup_Branch"
"capitalized-comments",eslint,"3",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyActionLwc___tests___dummyActionLwc.test.js",22,0,22,0,"Comments should not begin with a lowercase character.",,"Bhavana02012003","Bhavana02012003",22,"Backup_Branch"
"no-magic-numbers",eslint,"3",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyActionLwc___tests___dummyActionLwc.test.js",23,0,23,0,"No magic number: 1.",,"Bhavana02012003","Bhavana02012003",23,"Backup_Branch"
"no-magic-numbers",eslint,"3",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyActionLwc___tests___dummyActionLwc.test.js",23,0,23,0,"No magic number: 1.",,"Bhavana02012003","Bhavana02012003",23,"Backup_Branch"
"class-methods-use-this",eslint,"3",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyActionLwc_dummyActionLwc.js",4,0,4,0,"Expected 'this' to be used by class method 'connectedCallback'.",,"Bhavana02012003","Bhavana02012003",4,"Backup_Branch"
"no-console",eslint,"3",,"temp_scanner_files/temp_force-app_main_default_lwc_dummyActionLwc_dummyActionLwc.js",6,0,6,0,"Unexpected console statement.",,"Bhavana02012003","Bhavana02012003",6,"Backup_Branch"
